GROUPNAME,COMMAND,ToBeTested,PLANT3D,PandID,NA,SHORT,UNDERSCORE,Plant3D,PandID
PLANT3D,lcPLANTREMOVEORPHANFASTENERS,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTSTEELCUT,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTSTEELEDGECUT,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTSTEELEXPLODE,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTSTEELEDIT,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTSTEELLADDER,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTSTEELLENGTHEN,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTSTEELMEMBER,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTSTEELMITER,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTSTEELRAILING,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTSTEELRESTORE,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTSTEELSETREP,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTSTEELSTAIR,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTCONNECTJOINT,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTDISCONNECTJOINT,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTEQUIPMENTATTACH,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTEQUIPMENTCONVERT,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTEQUIPMENTDETACH,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTORTHOANNOTATE,YES,YES,NO,NO,YES,YES,YES,NO
PLANT3D,lcPLANTEQUIPMENTCREATE,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTORTHOUPDATEANNOTATION,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTSLOPETHRESHOLDANGLE,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTSIZEDISPLAYMODE,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTORTHOEDIT,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTORTHOUPDATE,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTORTHODELETE,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTORTHOLOCATE,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTCONVERTLINETOPIPE,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTCUSTOMPARTS_DB,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTMODIFYSHAREDCONTENTFOLDER,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcDataManagerClose_DB,YES,YES,YES,NO,NO,YES,NO,NO
PLANT3D,lcProjectManagerClose,YES,YES,YES,NO,NO,YES,NO,NO
PLANT3D,lcValidateSummary_DB,YES,YES,YES,NO,NO,YES,NO,NO
