DIALOG NAME,DIALOG PARENT NAME,Plant3D,PandID
SaveAsRTFDocumentDLG,PreviewDLG,NO,NO
SaveAsTextDocumentDLG,PreviewDLG,NO,NO
SaveAsXLSDocumentDLG,PreviewDLG,NO,NO
SaveAsXLSXDocumentDLG,PreviewDLG,NO,NO
SaveCatalogTemplateAsDLG,AutoCADPlant3DCatalogBuilderApplicationDLG,NO,NO
SavePCFToDLG,ExportPCFDLG,NO,NO
SaveViewDLG,DataManagerDLG,NO,NO
SDNFExportDLG,SDNFExportDLG,NO,NO
SegmentDataDiffersTaskDLG,SegmentDataDiffersTaskDLG,NO,NO
SelectBlockDrawingDLG,NewEndConnectionDLG,NO,NO
SelectBlockErrorMSG,SelectBlockPandIDDLG,NO,NO
SelectBlockPandIDDLG,NewEndConnectionDLG,NO,NO
SelectBranchConnectionDLG,SpecEditorDLG,NO,NO
SelectBranchListDLG,SpecEditorDLG,NO,NO
SelectCatalogTemplateToEditDLG,Plant3DCatalogBuilderDLG,NO,NO
SelectCatalogToAddIntoDLG,BuildCatalogSingleDLG,NO,NO
SelectClassPropertyClassDLG,TagFormatSetupDLG,NO,NO
SelectClassPropertyDLG,ProjectSetupProjectDetailsDLG,NO,NO
SelectDataSourceDLG,AddPropertyDLG,NO,NO
SelectDrawingAutogenerationPropertyDLG,DefineExpressionDLG,NO,NO
SelectDrawingPropertyDLG,TagFormatSetupDLG,NO,NO
SelectDrawingsDLG,DataManagerDLG,NO,NO
SelectDrawingsToCopyToProDLG,PROJECTMANAGERDLG,NO,NO
SelectDrawingsToLinkToProDLG,PROJECTMANAGERDLG,NO,NO
SelectDWGFileDLG,AutoCADPlant3DCatalogBuilderApplicationDLG,NO,NO
SelectExcelFilesToBuildCatDLG,Plant3DCatalogBuilderDLG,NO,NO
SelectFilePIDDLG,SelectFilePIDDLG,NO,NO
SelectHandrailShapeDLG,SelectHandrailShapeDLG,NO,NO
SelectionListPropertyDLG,ProjectSetupProjectDetailsDLG,NO,NO
SelectIsometricDrawingTemplateFileDLG,ProjectSetupProjectDetailsDLG,NO,NO
SelectIsoStyleFilesDirectoryDLG,ProjectSetupPIDLineDLG,NO,NO
SelectKickPlateShapeDLG,SelectKickPlateShapeDLG,NO,NO
SelectKneerailShapeDLG,SelectKneerailShapeDLG,NO,NO
SelectLDTFileDLG,InsertTitleBlockAttributesDLG,NO,NO
SelectLongDescriptionStyleFileDLG,TableSetupDLG,NO,NO
SelectOrthographicDrawingDLG,SelectOrthographicDrawingDLG,NO,NO
SelectPCFFileDLG,,NO,NO
SelectPictureDLG,WatermarkDLG,NO,NO
SelectPIDClassDLG,AddSymbolsEditSymbolSettingsDLG,NO,NO
SelectPlant3DClassMappingDLG,ProjectSetupDMConfigurationDLG,NO,NO
SelectPostShapeDLG,SelectPostShapeDLG,NO,NO
SelectPreviewFileDLG,AutoCADPlant3DCatalogBuilderApplicationDLG,NO,NO
SelectProductionIsoOutputDirectoryDLG,ProjectSetupProjectDetailsDLG,NO,NO
SelectProjectAutogenerationPropertyDLG,DefineExpressionDLG,NO,NO
SelectProjectPropertyDLG,TagFormatSetupDLG,NO,NO
SelectQuickIsoDirectoryDLG,CreateQuickIsoDLG,NO,NO
SelectQuickIsoOutputDirectoryDLG,ProjectSetupProjectDetailsDLG,NO,NO
SelectReferenceModelsDLG,SelectReferenceModelsDLG,NO,NO
SelectReportsDirectoryDLG,ProjectSetupProjectDetailsDLG,NO,NO
SelectSizeAndSpecDLG,DataManagerDLG,NO,NO
SelectSpecsAndCatalogsDLG,ConvertCADWorxSpecsDLG,NO,NO
SelectSpecsandCatalogsDLG2,ConvertAutoPLANTSpecsAndCatalogsDLG,NO,NO
SelectSpecsAndCatalogsToMigrateDLG,SpecEditorDLG,NO,NO
SelectStairShapeDLG,SelectStairShapeDLG,NO,NO
SelectStairStepDLG,DataManagerDLG,NO,NO
SetMatchingValuesDLG,ModifyJointDLG,NO,NO
SetQuickIsoOptionsDLG,CreateQuickIsoDLG,NO,NO
SettingsDLG,ReportCreatorDLG,NO,NO
SetupCompoundJointDLG,ProjectSetupDMConfigurationDLG,NO,NO
SetupConnectionComponentDLG,SetupCompoundJointDLG,NO,NO
SetUpDrawingAreaDLG,SetUpDrawingAreaDLG,OUT,NO
SetupIsogenBillOfMaterialsDLG,SetupIsogenBillOfMaterialsDLG,OUT,NO
SchemaReloadDLG,ProjectSetupProjectDetailsDLG,NO,NO
SizeMappingDLG,SizeMappingDLG,NO,NO
SpecAlreadyOpenAspecwiththisnameisalreadyopenDLG,SpecEditorDLG,NO,NO
SpecAndCatalogMigrationCompleteDLG,SpecEditorDLG,NO,NO
SpecAndCatalogMigrationRequired1DLG,SpecEditorDLG,NO,NO
SpecAndCatalogMigrationRequired2DLG,SpecEditorDLG,NO,NO
SpecAndCatalogMigrationRequireTaskDLG,SpecEditoDLG,NO,NO
SpecandCatalogsConversionCompleteDLG,SpecEditorDLG,NO,NO
SpecandCatalogsEditorDLG,SpecEditorDLG,NO,NO
SpecConversionReportDLG,SpecEditorDLG,NO,NO
SpecEditorBatchAssignlongDescriptionStylesCompletedDLG1,SpecEditorDLG,NO,NO
SpecEditorBatchAssignlongDescriptionStylesCompletedDLG2,SpecEditorDLG,NO,NO
SpecEditorEditValveOperatorsDLG, SpecEditorDLG,NO,NO
SpecEditorImportFailedDLG,SpecEditorDLG,NO,NO
SpecEditorLayoutAndSettingsDLG,SpecEditorDLG,NO,NO
SpecEditorLongDescriptionStyleDeletionDLG,SpecEditorDLG,NO,NO
SpecEditorValveOperatorShapeBrowserDLG,SpecEditorEditValveOperatorsDLG,NO,NO
SpecFromExistingInvalidName,CreateSpecFromExistingSpecDLG1,NO,NO
SpecUpdateNotificationCatalogpartshavechangedDLG1,SpecEditorDLG,NO,NO
SpecUpdateNotificationCatalogpartshavechangedDLG2,SpecEditorDLG,NO,NO
SpecUpdateNotificationNoUpdatesFoundDLG,SpecEditorDLG,NO,NO
SpecUpdateResultsDLG,AppWnd,NO,NO
SpecUpdateSynchronizationCompleteNotupdatedDLG,SpecEditorDLG,NO,NO
SpecUpdateSynchronizationCompleteUpdatedSpecsDLG,SpecEditorDLG,NO,NO
SpecUtilityBrowseForFolderDLG,ConvertAutoPLANTSpecsAndCatalogsDLG,NO,NO
SpecUtilityCatalogImportDLG,AutoCADPlant3DSpecEditor2/AutoCADPlantDSpecEditorxCatalogEditortabDLG,NO,NO
SpecUtilityCatalogPartsDLG,SpecEditorDLG,NO,NO
SpecUtilityEditpartsPartListDLG,SpecEditorDLG,NO,NO
SpecUtilityErrorDLG,SpecEditorDLG,NO,NO
SpecUtilityExportDataDLG,SpecEditorDLG,NO,NO
SpecUtilityExportDataDLG2,SpecEditorDLG,NO,NO
SpecUtilityExportToDLG,SpecUtilityExportDataDLG,NO,NO
SpecUtilityImportFailedDLG,SpecEditorDLG,NO,NO
SpecUtilityImportFailedTheExcelnotexportedDLG,SpecEditorDLG,NO,NO
SpecUtilityImportFromDLG,SpecEditorDLG,NO,NO
SpecUtilityInvalidExistingFileDLG,CreateSpecFromExistingSpecDLG1,NO,NO
SpecUtilityInvalidFileDLG,SpecEditorDLG,NO,NO
SpecUtilityInvalidNameDLG1,CreateSpecDLG,NO,NO
SpecUtilityInvalidNameDLG2,CreateSpecFromExistingSpecDLG1,NO,NO
SpecUtilityInvalidPathDLG,SpecEditorDLG,NO,NO
SpecUtilityMissingExistingFileDLG,CreateSpecFromExistingSpecDLG1,NO,NO
SpecUtilityOpenSpecDLG,SpecEditorDLG,NO,NO
SpecUtilityPartnameDLG,SpecEditorDLG,NO,NO
SpecUtilitySaveAsDLG,CreateSpecDLG,NO,NO
SpecUtilitySaveAsNewStyleDLG,SpecEditorDLG,NO,NO
SpecUtilitySaveChangesDLG,SpecEditorDLG,NO,NO
SpecUtilityWelcometoDLG,SpecEditorDLG,NO,NO
SpecViewerDLG,SpecViewerDLG,NO,NO
SQLServerInstanceErrorDLG,ProjectSetupWizardSpecifyUnitSettingsDLG,NO,NO
SQLServerSignInDLG,PROJECTMANAGERDLG,NO,NO
SQLServerSignInDLG,SQLServerSignInDLG,NO,NO
StairSettingsDLG,StairSettingsDLG,NO,NO
StandardsCentrifugalBlowerDLG,ProjectSetupProjectDetailsDLG,NO,NO
StyleAlreadyExistsInDrawingErrorDLG,AddSymbolsEditSymbolSettingsDLG,NO,NO
StyleCanTBeDeletedDLG,ProjectSetupProjectDetailsDLG,NO,NO
SupportingContentUnavailableDLG,SpecEditorDLG,NO,NO
SymbolListPropertyDLG,AddPropertyDLG,NO,NO
SymbolSettingErrorBlockDLG,SymbolSettingsDLG,NO,NO
SymbolSettingErrorNameDLG,SymbolSettingsDLG,NO,NO
SymbolSettingsDLG,SymbolSettingsDLG,NO,NO
TableSetupDLG,AppWnd,NO,NO
TagAlreadyAssignedDLG,AssignTagDLG,NO,NO
TagErrorMSG,AssignTagDLG,NO,NO
TagFormatCanTBeDeletedDLG,ProjectSetupProjectDetailsDLG,NO,NO
TagFormatSetupDLG,ProjectSetupProjectDetailsDLG,NO,NO
TagFormatSetupErrorDLG,ProjectSetupProjectDetailsDLG,NO,NO
TemplateUnitConversionwasDoneTaskDLG,AutoCADPlant3DCatalogBuildSettingsDLG,NO,NO
TestConnectionFailedDLG,TestConnectionFailedDLG,NO,NO
TextExportOptionsDLG,ReportCreatorDLG,NO,NO
TrimToPlaneDLG,TrimToPlaneDLG,NO,NO
UnitConversionConfirmationTaskDLG,AutoCADPlant3DCatalogBuildSettingsDLG,NO,NO
UnrecognizedCharactersInLengthDLG,ProjectSetupProjectDetailsDLG ,NO,NO
UserNameErrorDLG,ProjectSetupWizardSpecifyUnitSettingsDLG,NO,NO
ValidateConfigDLG,ValidateConfigDLG,NO,NO
ValidationErrorsDLG,ReportConfigurationDLG,NO,NO
ValidationSummaryDLG,ValidationSummaryDLG,NO,NO
ValveOperatorMappingDLG,SpecEditorDLG,NO,NO
VariablesDLG,ReportConfigurationDLG,NO,NO
ViewConnectedOffpageConnectDLG,AppWnd,NO,NO
ViewPortsDLG,ViewPortsDLG,NO,NO
WatermarkDLG,PreviewDLG,NO,NO
WorkHistoryDLG,PROJECTMANAGERDLG,NO,NO
XLSExportOptionsDLG,ReportCreatorDLG,NO,NO
XLSXExportOptionsDLG,PreviewDLG,NO,NO
CreateIsometricStyleDLG,CreateIsometricStyleDLG,NO,OUT
CreateIsometricStyleSpoolDLG,CreateIsometricStyleSpoolDLG,NO,OUT
