DIALOG NAME,DIALOG PARENT NAME,Plant3D,PandID
CreateIsoTypeDLG,ProjectSetupPIDLineDLG,OUT,NO
CreateNewComponentDLG1,SpecEditorDLG,NO,NO
CreatePlateGrateDLG,CreatePlateGrateDLG,NO,NO
CreateProductionIsoDLG,CreateProductionIsoDLG,NO,NO
CreateQuickIsoDLG,CreateQuickIsoDLG,NO,NO
CreateSpecDLG,SpecEditorDLG,NO,NO
CreateSpecFromExistingSpecDLG1,SpecEditorDLG,NO,NO
CreateSpecFromExistingSpecDLG2,SpecEditorDLG,NO,NO
CreateToolDLG,ProjectSetupProjectDetailsDLG,NO,NO
CSVExportOptionsDLG,ReportCreatorDLG,NO,NO
CsvToPlantDMappingClassMappingDLG,SpecEditorDLG,NO,NO
CustomizationDLG,PreviewDLG,NO,NO
CustomizeResetDLG,CustomizationDLG,NO,NO
CustomPartsBuilderDimensionsDLG,,NO,NO
CustomScriptPathisinvalidDLG,AutoCADPlant3DCatalogBuilderApplicationDLG,NO,NO
DatabaseConnectionFailedDLG,PROJECTMANAGERDLG,NO,NO
DatabaseConnectionFailedDLG,DatabaseConnectionFailedDLG,NO,NO
DatabaseNamePrefixErrorDLG,ProjectSetupWizardSpecifyUnitSettingsDLG,NO,NO
DataManagerConfigurationDLG,PROJECTMANAGERDLG,NO,NO
DataManagerDLG, DataManagerDLG,NO,NO
DefineExpressionDLG,TagFormatSetupDLG,NO,NO
DisconnectOffpageConnectorsDLG,ViewConnectedOffpageConnectDLG,NO,NO
DrawingAlreadyExistsDLG,NewDWGDLG,NO,NO
DrawingAutogenPropertiesDLG,PROJECTMANAGERDLG,NO,NO
DrawingAutogenPropertiesErrorDLG,DrawingAutogenPropertiesDLG,NO,NO
DrawingCheckerDLG,AppWnd,NO,NO
DrawingCheckerReviewDLG,AppWnd,NO,NO
DrawingPropertiesPDLG,DataManagerDLG,NO,NO
DuplicateDefinitionDLG,CreateClassDLG,NO,NO
DuplicateDWGNumberDLG,NewDWGDLG,NO,NO
DuplicateFileNameDLG,PROJECTMANAGERDLG,NO,NO
DuplicateNameMSG,NewEndConnectionDLG,NO,NO
DuplicatePartfamilyDLG,SpecEditorDLG,NO,NO
EditAnnotationDLG, EditAnnotationDLG,NO,NO
EditAttributesDLG, EditAttributesDLG,NO,NO
EditFootingDLG,EditFootingDLG,NO,NO
EditGridDLG,EditGridDLG,NO,NO
EditLadderDLG,EditLadderDLG,NO,NO
EditLongDescriptionStyleDLG,SpecEditorDLG,NO,NO
EditMemberDLG,EditMemberDLG,NO,NO
EditPIDObjectSBlockDLG,EditPIDObjectSBlockDLG,NO,NO
EditRailingDLG,EditRailingDLG,NO,NO
EditSlopeDLG,EditSlopeDLG,NO,NO
EditStairDLG,EditStairDLG,NO,NO
EntryRequiredDLG,NewDWGDLG,NO,NO
EquipmentCongruentNozzlePortsTaskDLG,AppWnd,NO,NO
ErrorDLG,ProjectSetupPathsDLG,NO,NO
ExportDataManagerDLG,DataManagerDLG,NO,NO
ExportDLG,PreviewDLG,NO,NO
ExportPCFDLG,AppWnd,NO,NO
ExportReportDataDLG,DataManagerDLG,NO,NO
ExportResultsDLG,ReportCreatorDLG,NO,NO
ExportResultsNewDLG,AppWnd,NO,NO
ExportToAutoCADDLG,AppWnd,NO,NO
ExportToAutoCADP3DDLG,AppWnd,NO,NO
FieldDLG,FieldDLG,NO,NO
FileExistsDLG,NewDWGDLG,NO,NO
FileSetToReadOnlyDLG,ReportConfigurationDLG,NO,NO
FootingSettingsDLG,FootingSettingsDLG,NO,NO
HTMLExportOptionsDLG,ReportCreatorDLG,NO,NO
IdenticalUnitsDLG,AutoCADPlant3DCatalogBuildSettingsDLG,NO,NO
ImageExportOptionsDLG,ReportCreatorDLG,NO,NO
ImportFailedTheExcelFileisnotexportedCatalogDataFileDLG,SpecEditorDLG,NO,NO
ImportFromDLG,DataManagerDLG,NO,NO
ImportInventorComponentDLG,AppWnd,NO,NO
InsertingItemsFromToolPaleDLG, InsertingItemsFromToolPaleDLG,NO,NO
InsertTitleBlockAttributes_RequiredExelDLG,,NO,NO
InsertTitleBlockAttributesDLG,InsertTitleBlockAttributesDLG,NO,NO
InvalidDirectoryLocationTaskDLG,ProjectSetupWizardDLG,NO,NO
InvalidNameDLG,AddPropertyDLG,NO,NO
IsogenLayerSetupDLG,IsogenLayerSetupDLG,OUT,NO
IsogenSettingsConfiguretitleDLG,IsogenSettingsConfiguretitleDLG,OUT,NO
IsogenSettingsDimensionsDLG,IsogenSettingsDimensionsDLG,OUT,NO
IsogenSettingsLabelsDLG,IsogenSettingsLabelsDLG,OUT,NO
IsogenSettingsPathsDLG,IsogenSettingsPathsDLG,OUT,NO
IsogenSettingsSlopedlineDLG,IsogenSettingsSlopedlineDLG,OUT,NO
IsometricDWGSettingsAdvancedDefaultsDLG,AppWnd,NO,NO
IsometricDWGSettingsAnnotationsDLG,AppWnd,NO,NO
IsometricDWGSettingsDimensionsDLG,AppWnd,NO,NO
IsometricDWGSettingsIsoStyleSetupDLG,AppWnd,NO,NO
IsometricDWGSettingsIsoStyleSetupMDLG,AppWnd,NO,NO
IsometricDWGSettingsLivePreviewDLG,,NO,NO
IsometricDWGSettingsSlopesandSkewsDLG,AppWnd,NO,NO
IsometricDWGSettingsTitleBlockandDisplayDLG,AppWnd,NO,NO
IsoSaveChangesDLG,AppWnd,NO,NO
IsoThemesDLG,AppWnd,NO,NO
IsoTypeAlreadyExistsErrorDLG,CreateIsoStyleDLG,NO,NO
LadderSettingsDLG,LadderSettingsDLG,NO,NO
LineGroupTagAlreadyExistsDLG, LineGroupTagAlreadyExistsDLG,NO,NO
LoadViewDLG,DataManagerDLG,NO,NO
LoginFailedErrorDLG,ProjectSetupWizardSpecifyUnitSettingsDLG,NO,NO
ManageEndcodesDLG,ManageEndcodesDLG,NO,NO
MapPropertyValuesDLG,NewExportandImportSettingsDLG,NO,NO
MapTitleBlockAttributesDLG,InsertTitleBlockAttributesDLG,NO,NO
MemberSettingsDLG,MemberSettingsDLG,NO,NO
MessageBoxNoValueSelectedDLG,SpecEditorEditValveOperatorsDLG,NO,NO
MHTExportOptionsDLG,ReportCreatorDLG,NO,NO
MigrateSpecsAndCatalogsDLG,SpecEditorDLG,NO,NO
MigrationCancelTaskDLG,AutoCADPIDMigrationDLG,NO,NO
ModifyCatalogPropertiesDLG,SpecEditorDLG,NO,NO
ModifyEndcodeDLG,ManageEndcodesDLG,NO,NO
ModifyJointDLG,ProjectSetupDMConfigurationDLG,NO,NO
ModifyPipeSupportDLG,ModifyPipeSupportDLG,OUT,NO
ModifyReportLineListDLG,ProjectSetupProjectDetailsDLG,NO,NO
